price,bedrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,city,house_age,bathroom_full,bathroom_3_quarter,bathroom_half,bathroom_1_quarter,has_renovated
313000.0,3,1340,7912,1.5,0,0,3,1340,0,Shoreline,59,1.0,0.0,1.0,0.0,1
342000.0,3,1930,11947,1.0,0,0,4,1930,0,Kent,48,2.0,0.0,0.0,0.0,0
420000.0,3,2000,8030,1.0,0,0,4,1000,1000,Bellevue,51,2.0,0.0,0.0,0.0,0
550000.0,4,1940,10500,1.0,0,0,4,1140,800,Redmond,38,2.0,0.0,1.0,0.0,1
490000.0,2,880,6380,1.0,0,0,3,880,0,Seattle,76,1.0,0.0,0.0,0.0,1
335000.0,2,1350,2560,1.0,0,0,3,1350,0,Redmond,38,2.0,0.0,0.0,0.0,0
482000.0,4,2710,35868,2.0,0,0,3,2710,0,Maple Valley,25,2.0,0.0,1.0,0.0,0
452500.0,3,2430,88426,1.0,0,0,4,1570,860,North Bend,29,2.0,0.0,1.0,0.0,0
640000.0,4,1520,6200,1.5,0,0,3,1520,0,Seattle,69,2.0,0.0,0.0,0.0,1
463000.0,3,1710,7320,1.0,0,0,3,1710,0,Lake Forest Park,66,1.0,1.0,0.0,0.0,1
1400000.0,4,2920,4000,1.5,0,0,5,1910,1010,Seattle,105,2.0,0.0,1.0,0.0,1
588500.0,3,2330,14892,1.0,0,0,3,1970,360,Sammamish,34,1.0,1.0,0.0,0.0,0
365000.0,3,1090,6435,1.0,0,0,4,1090,0,Seattle,59,1.0,0.0,0.0,0.0,1
1200000.0,5,2910,9480,1.5,0,0,3,2910,0,Seattle,75,2.0,1.0,0.0,0.0,1
242500.0,3,1200,9720,1.0,0,0,4,1200,0,Kent,49,1.0,0.0,1.0,0.0,0
419000.0,3,1570,6700,1.0,0,0,4,1570,0,Bellevue,58,1.0,0.0,1.0,0.0,0
367500.0,4,3110,7231,2.0,0,0,3,3110,0,Auburn,17,3.0,0.0,0.0,0.0,0
257950.0,3,1370,5858,1.0,0,0,3,1370,0,Des Moines,27,1.0,1.0,0.0,0.0,1
275000.0,3,1180,10277,1.0,0,0,3,1180,0,North Bend,31,1.0,0.0,1.0,0.0,1
750000.0,3,2240,10578,2.0,0,0,5,1550,690,Seattle,91,1.0,1.0,0.0,0.0,0
435000.0,4,1450,8800,1.0,0,0,4,1450,0,Bellevue,60,1.0,0.0,0.0,0.0,1
626000.0,3,1750,1572,2.5,0,0,3,1470,280,Seattle,9,2.0,0.0,0.0,0.0,0
612500.0,4,2730,12261,2.0,0,0,3,2730,0,Bothell,23,2.0,0.0,1.0,0.0,0
495000.0,4,1600,6380,1.0,0,0,3,1130,470,Seattle,55,1.0,1.0,0.0,0.0,1
285000.0,3,2090,10834,1.0,0,0,4,1360,730,Federal Way,27,2.0,0.0,1.0,0.0,0
615000.0,3,2360,7291,1.0,0,0,4,1360,1000,Seattle,66,1.0,1.0,0.0,0.0,0
698000.0,4,2200,11250,1.5,0,0,5,1300,900,Kirkland,94,2.0,0.0,0.0,0.0,0
675000.0,5,2820,67518,2.0,0,0,3,2820,0,Issaquah,35,2.0,0.0,1.0,0.0,1
790000.0,3,2600,4750,1.0,0,0,4,1700,900,Seattle,63,2.0,0.0,1.0,0.0,1
382500.0,4,1560,8700,1.0,0,0,4,1560,0,Kirkland,47,1.0,1.0,0.0,0.0,0
499950.0,4,2860,3345,2.0,0,0,3,2190,670,Woodinville,10,2.0,0.0,1.0,0.0,1
650000.0,4,1820,5000,1.5,0,1,3,1640,180,Seattle,69,2.0,0.0,0.0,0.0,1
625000.0,4,2820,8408,2.0,0,0,3,2820,0,Shoreline,0,2.0,0.0,1.0,0.0,0
400000.0,4,3630,42884,1.5,0,0,3,2300,1330,Auburn,35,2.0,0.0,1.0,0.0,1
604000.0,3,3240,33151,2.0,0,2,3,3240,0,Federal Way,19,2.0,0.0,1.0,0.0,0
440000.0,2,800,4850,1.0,0,0,4,800,0,Seattle,70,1.0,0.0,0.0,0.0,0
287200.0,3,1850,19966,1.0,0,0,4,1090,760,Maple Valley,22,3.0,0.0,0.0,0.0,0
403000.0,3,1960,13100,1.0,0,2,5,1650,310,Normandy Park,57,2.0,0.0,0.0,0.0,0
750000.0,3,2390,6550,1.0,0,2,4,1440,950,Seattle,59,2.0,0.0,1.0,0.0,1
335000.0,3,1580,16215,1.0,0,0,4,1580,0,Fall City,36,2.0,0.0,0.0,0.0,1
260000.0,4,1480,8625,1.0,0,0,4,1480,0,Renton,40,2.0,0.0,0.0,0.0,0
308500.0,2,850,6174,1.0,0,0,4,850,0,Shoreline,64,1.0,0.0,0.0,0.0,1
439950.0,3,1770,2875,2.0,0,0,3,1770,0,Seattle,24,2.0,0.0,1.0,0.0,1
235000.0,2,1210,9400,1.0,0,0,2,1210,0,Seattle,65,1.0,0.0,0.0,0.0,0
315000.0,3,1160,9180,1.0,0,0,3,1160,0,Woodinville,46,1.0,0.0,0.0,0.0,1
437500.0,3,1970,35100,2.0,0,0,4,1970,0,Issaquah,37,2.0,0.0,0.0,0.0,0
407500.0,3,1930,10460,2.0,0,0,3,1930,0,Renton,18,2.0,0.0,1.0,0.0,0
445700.0,3,1270,1180,3.0,0,0,3,1270,0,Seattle,13,2.0,0.0,1.0,0.0,0
838000.0,4,3310,42998,2.0,0,0,3,3310,0,Redmond,13,2.0,0.0,1.0,0.0,0
630000.0,4,2710,37277,2.0,0,0,3,2710,0,Issaquah,14,2.0,1.0,0.0,0.0,0
550000.0,3,2910,35200,1.5,0,0,3,2910,0,Sammamish,35,1.0,1.0,0.0,0.0,1
